#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 974: Waterhole, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Waterhole (974) 
# Washington  SNOTEL Site - 5010 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 23, 2021 8:15:07 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2005-02-17,2.2,26.0,38,26,31,0.00
2005-02-18,2.2,26.0,44,24,32,0.00
2005-02-19,2.2,26.0,27,18,22,0.00
2005-02-20,2.1,26.0,37,13,22,0.00
2005-02-21,2.2,26.0,44,21,30,0.00
2005-02-22,2.2,26.0,45,31,35,0.10
2005-02-23,2.3,26.1,53,33,40,0.00
2005-02-24,2.3,26.1,48,32,38,0.00
2005-02-25,2.4,26.1,47,32,37,0.00
2005-02-26,2.4,26.1,49,31,37,0.00
2005-02-27,2.4,26.1,49,32,40,0.20
2005-02-28,2.5,26.3,40,28,33,0.10
2005-03-01,3.0,26.4,36,29,32,0.50
2005-03-02,3.4,26.9,37,28,31,0.10
2005-03-03,3.5,27.0,43,25,32,0.00
2005-03-04,3.5,27.0,37,28,33,0.00
2005-03-05,3.5,27.0,44,28,36,0.10
2005-03-06,3.6,27.1,47,30,39,0.00
2005-03-07,3.5,27.1,49,32,40,0.00
2005-03-08,3.2,27.1,52,33,43,0.10
2005-03-09,2.6,27.2,43,36,38,0.20
2005-03-10,2.2,27.4,53,34,41,0.00
2005-03-11,2.1,27.4,55,30,42,0.00
2005-03-12,1.7,27.4,44,28,34,0.00
2005-03-13,1.6,27.4,45,29,35,0.00
2005-03-14,1.6,27.4,52,31,40,0.00
2005-03-15,1.6,27.4,46,31,38,0.00
2005-03-16,1.6,27.4,36,24,29,0.30
2005-03-17,2.1,27.7,34,20,27,0.00
2005-03-18,2.1,27.7,31,18,24,0.00
2005-03-19,2.0,27.7,36,18,29,0.80
2005-03-20,2.4,28.5,32,20,28,1.10
2005-03-21,4.1,29.6,32,18,24,0.30
2005-03-22,4.4,29.9,31,19,24,0.20
2005-03-23,4.5,30.1,32,16,24,0.00
2005-03-24,4.5,30.1,32,22,26,0.10
2005-03-25,4.6,30.2,33,19,26,0.10
2005-03-26,4.7,30.3,32,29,31,1.60
2005-03-27,5.7,31.9,33,26,31,0.20
2005-03-28,6.0,32.1,33,23,26,0.30
2005-03-29,6.4,32.4,32,22,26,0.90
2005-03-30,7.4,33.3,37,20,27,0.20
2005-03-31,7.6,33.5,33,28,30,0.50
2005-04-01,7.9,34.0,31,18,26,1.20
2005-04-02,9.3,35.2,32,18,26,0.30
2005-04-03,9.7,35.5,36,23,28,0.30
2005-04-04,9.9,35.8,34,20,24,0.00
2005-04-05,9.9,35.8,32,22,28,0.40
2005-04-06,10.3,36.2,36,29,33,0.10
2005-04-07,10.4,36.3,35,21,30,0.30
2005-04-08,10.9,36.6,32,18,25,0.00
2005-04-09,10.9,36.6,39,19,27,0.10
2005-04-10,11.0,36.7,37,20,29,0.20
2005-04-11,11.2,36.9,30,18,25,0.20
2005-04-12,11.5,37.1,30,17,22,0.20
2005-04-13,11.7,37.3,32,20,26,0.30
2005-04-14,11.9,37.6,33,18,25,0.00
2005-04-15,11.9,37.6,35,23,31,0.60
2005-04-16,12.4,38.2,35,24,30,1.00
2005-04-17,12.4,39.2,38,25,29,0.10
2005-04-18,12.5,39.3,40,23,30,0.00
2005-04-19,12.7,39.3,48,25,34,0.10
2005-04-20,12.7,39.4,54,30,40,0.00
2005-04-21,12.4,39.4,56,36,45,0.10
2005-04-22,11.9,39.5,54,36,44,0.00
2005-04-23,11.5,39.5,53,37,45,0.10
2005-04-24,11.3,39.6,50,35,41,0.00
2005-04-25,10.8,39.6,49,35,41,0.00
2005-04-26,10.2,39.6,56,35,45,0.00
2005-04-27,9.5,39.6,54,35,43,0.00
2005-04-28,9.0,39.6,51,34,41,0.00
2005-04-29,8.8,39.6,40,33,36,0.20
2005-04-30,8.7,39.8,43,32,36,0.00
2005-05-01,8.3,39.8,53,32,41,0.10
2005-05-02,7.8,39.9,42,35,38,0.50
2005-05-03,7.5,40.4,45,33,38,0.00
2005-05-04,7.0,40.4,48,36,40,0.00
2005-05-05,6.2,40.4,53,34,42,0.00
2005-05-06,5.5,40.4,54,33,42,0.00
2005-05-07,4.5,40.4,45,28,36,0.00
2005-05-08,3.7,40.4,45,32,38,0.10
2005-05-09,3.1,40.5,48,35,40,0.20
2005-05-10,2.6,40.7,47,37,42,0.90
2005-05-11,2.0,41.6,51,34,41,0.00
2005-05-12,1.3,41.6,53,36,44,0.00
2005-05-13,0.8,41.6,54,35,46,0.10
2005-05-14,0.3,41.7,54,43,46,0.00
2005-05-15,0.0,41.7,50,34,42,0.20
2005-05-16,0.0,41.9,38,30,34,0.10
2005-05-17,0.0,42.0,40,29,34,0.20
2005-05-18,0.0,42.2,40,31,35,0.90
2005-05-19,0.0,43.1,34,31,32,1.80
2005-05-20,0.0,44.9,40,30,33,0.20
2005-05-21,0.0,45.1,39,29,33,0.00
2005-05-22,0.0,45.1,35,29,31,0.40
2005-05-23,0.0,45.5,41,28,33,0.40
2005-05-24,0.0,45.9,46,29,36,0.00
2005-05-25,0.0,45.9,57,30,43,0.20
2005-05-26,0.0,46.1,66,40,55,0.10
2005-05-27,0.0,46.2,71,49,60,0.00
2005-05-28,0.0,46.2,71,50,61,0.00
2005-05-29,0.0,46.2,66,47,55,0.00
2005-05-30,0.0,46.2,60,43,51,0.00
2005-05-31,0.0,46.2,45,34,40,0.00
2005-06-01,0.0,46.2,49,34,40,0.00
2005-06-02,0.0,46.2,47,36,40,0.00
2005-06-03,0.0,46.2,51,33,41,0.00
2005-06-04,0.0,46.2,39,31,36,0.00
2005-06-05,0.0,46.2,39,30,34,0.20
2005-06-06,0.0,46.4,40,29,34,0.10
2005-06-07,0.0,46.5,46,31,38,0.30
2005-06-08,0.0,46.8,41,33,37,0.20
2005-06-09,0.0,47.0,49,34,41,0.00
2005-06-10,0.0,47.0,47,33,40,0.40
2005-06-11,0.0,47.4,42,31,37,0.00
2005-06-12,0.0,47.4,44,30,35,0.00
2005-06-13,0.0,47.4,46,35,39,0.10
2005-06-14,0.0,47.5,41,33,36,0.10
2005-06-15,0.0,47.6,43,29,36,0.10
2005-06-16,0.0,47.7,53,37,46,0.40
2005-06-17,0.0,48.1,47,33,40,0.20
2005-06-18,0.0,48.3,45,38,42,0.10
2005-06-19,0.0,48.4,53,36,45,0.00
2005-06-20,0.0,48.4,65,42,54,0.00
2005-06-21,0.0,48.4,66,45,53,0.00
2005-06-22,0.0,48.4,56,34,46,0.00
2005-06-23,0.0,48.4,57,35,46,0.10
2005-06-24,0.0,48.5,60,39,50,0.00
2005-06-25,0.0,48.5,54,38,46,0.00
2005-06-26,0.0,48.5,54,41,45,0.10
2005-06-27,0.0,48.6,46,39,43,0.10
2005-06-28,0.0,48.7,60,42,50,0.00
2005-06-29,0.0,48.7,64,45,52,0.00
2005-06-30,0.0,48.7,59,40,51,0.00
2005-07-01,0.0,48.7,57,38,46,0.00
2005-07-02,0.0,48.7,53,37,43,0.00
2005-07-03,0.0,48.7,62,36,49,0.10
2005-07-04,0.0,48.8,65,45,53,0.00
2005-07-05,0.0,48.8,57,47,51,0.30
2005-07-06,0.0,49.1,53,37,45,0.00
2005-07-07,0.0,49.1,49,35,43,0.00
2005-07-08,0.0,49.1,48,37,43,0.10
2005-07-09,0.0,49.2,44,34,40,0.10
2005-07-10,0.0,49.3,47,36,42,0.20
2005-07-11,0.0,49.5,53,42,46,0.10
2005-07-12,0.0,49.6,53,41,46,0.00
2005-07-13,0.0,49.6,55,39,46,0.00
2005-07-14,0.0,49.6,64,40,52,0.00
2005-07-15,0.0,49.6,56,46,50,0.20
2005-07-16,0.0,49.8,57,43,48,0.00
2005-07-17,0.0,49.8,67,41,54,0.00
2005-07-18,0.0,49.8,74,48,60,0.00
2005-07-19,0.0,49.8,64,42,52,0.00
2005-07-20,0.0,49.8,61,40,51,0.00
2005-07-21,0.0,49.8,71,42,58,0.00
2005-07-22,0.0,49.8,67,43,56,0.00
2005-07-23,0.0,49.8,58,39,48,0.00
2005-07-24,0.0,49.8,59,39,49,0.00
2005-07-25,0.0,49.8,64,40,52,0.00
2005-07-26,0.0,49.8,69,43,57,0.10
2005-07-27,0.0,49.9,72,52,61,0.00
2005-07-28,0.0,49.9,71,48,59,0.00
2005-07-29,0.0,49.9,65,45,55,0.00
2005-07-30,0.0,49.9,72,48,59,0.00
2005-07-31,0.0,49.9,70,49,59,0.00
2005-08-01,0.0,49.9,56,38,50,0.00
2005-08-02,0.0,49.9,59,37,47,0.00
2005-08-03,0.0,49.9,67,40,54,0.00
2005-08-04,0.0,49.9,72,52,61,0.00
2005-08-05,0.0,49.9,71,49,60,0.00
2005-08-06,0.0,49.9,68,49,58,0.00
2005-08-07,0.0,49.9,70,48,58,0.00
2005-08-08,0.0,49.9,67,47,58,0.00
2005-08-09,0.0,49.9,66,49,57,0.00
2005-08-10,0.0,49.9,64,42,52,0.00
2005-08-11,0.0,49.9,60,40,48,0.00
2005-08-12,0.0,49.9,69,45,56,0.00
2005-08-13,0.0,49.9,71,51,60,0.00
2005-08-14,0.0,49.9,72,51,60,0.00
2005-08-15,0.0,49.9,72,51,61,0.00
2005-08-16,0.0,49.9,68,48,56,0.10
2005-08-17,0.0,50.0,54,43,49,0.30
2005-08-18,0.0,50.3,59,42,49,0.00
2005-08-19,0.0,50.3,62,41,52,0.00
2005-08-20,0.0,50.3,66,49,56,0.00
2005-08-21,0.0,50.3,68,47,55,0.00
2005-08-22,0.0,50.3,59,40,50,0.00
2005-08-23,0.0,50.3,53,35,43,0.00
2005-08-24,0.0,50.3,61,38,48,0.00
2005-08-25,0.0,50.3,67,41,54,0.00
2005-08-26,0.0,50.3,67,47,55,0.00
2005-08-27,0.0,50.3,66,44,55,0.00
2005-08-28,0.0,50.3,56,38,48,0.50
2005-08-29,0.0,50.8,51,36,42,0.00
2005-08-30,0.0,50.8,48,36,43,0.10
2005-08-31,0.0,50.9,60,41,49,0.00
2005-09-01,0.0,50.9,65,42,52,0.00
2005-09-02,0.0,50.9,55,40,47,0.00
2005-09-03,0.0,50.9,53,38,44,0.00
2005-09-04,0.0,50.9,46,34,41,0.00
2005-09-05,0.0,50.9,49,33,41,0.00
2005-09-06,0.0,50.9,56,37,45,0.00
2005-09-07,0.0,50.9,60,39,49,0.00
2005-09-08,0.0,50.9,64,37,50,0.00
2005-09-09,0.0,50.9,51,35,41,0.10
2005-09-10,0.0,51.0,43,35,39,0.10
2005-09-11,0.0,51.1,55,38,44,0.00
2005-09-12,0.0,51.1,51,35,43,0.00
2005-09-13,0.0,51.1,58,36,46,0.00
2005-09-14,0.0,51.1,54,38,44,0.00
2005-09-15,0.0,51.1,49,33,40,0.00
2005-09-16,0.0,51.1,45,33,38,0.00
2005-09-17,0.0,51.1,46,33,40,0.00
2005-09-18,0.0,51.1,53,35,42,0.00
2005-09-19,0.0,51.1,52,34,43,0.00
2005-09-20,0.0,51.1,47,31,37,0.00
2005-09-21,0.0,51.1,61,30,38,0.00
2005-09-22,0.0,51.1,43,27,34,0.00
2005-09-23,0.0,51.1,47,28,35,0.00
2005-09-24,0.0,51.1,52,30,39,0.00
2005-09-25,0.0,51.1,58,36,46,0.00
2005-09-26,0.0,51.1,61,40,47,0.00
2005-09-27,0.0,51.1,58,34,44,0.00
2005-09-28,0.0,51.1,62,38,47,0.10
2005-09-29,0.0,51.2,50,47,49,1.30
2005-09-30,0.0,52.5,47,32,39,0.10
2005-10-01,0.0,0.0,37,30,33,0.10
2005-10-02,0.0,0.1,38,29,32,0.00
2005-10-03,0.0,0.1,39,27,31,0.00
2005-10-04,0.0,0.1,44,28,34,0.00
2005-10-05,0.0,0.1,47,34,40,0.10
2005-10-06,0.0,0.2,45,36,40,0.30
2005-10-07,0.0,0.5,41,30,36,0.00
2005-10-08,0.0,0.5,41,30,34,0.00
2005-10-09,0.0,0.5,47,31,40,0.00
2005-10-10,0.0,0.5,47,35,42,0.00
2005-10-11,0.0,0.5,46,29,36,0.00
2005-10-12,0.0,0.5,41,35,38,0.40
2005-10-13,0.0,0.9,46,34,38,0.00
2005-10-14,0.0,0.9,48,37,42,0.60
2005-10-15,0.0,1.5,44,35,39,0.00
2005-10-16,0.0,1.5,46,35,41,0.20
2005-10-17,0.0,1.7,51,41,46,0.00
2005-10-18,0.0,1.7,54,39,46,0.00
2005-10-19,0.0,1.7,44,30,40,0.20
2005-10-20,0.0,1.9,42,27,33,0.00
2005-10-21,0.0,1.9,59,40,48,0.00
2005-10-22,0.0,1.9,54,41,46,0.00
2005-10-23,0.0,1.9,44,29,39,0.00
2005-10-24,0.0,1.9,51,28,40,0.10
2005-10-25,0.0,2.0,46,30,40,0.30
2005-10-26,0.0,2.3,37,26,29,0.10
2005-10-27,0.0,2.4,35,25,30,0.00
2005-10-28,0.0,2.4,33,28,31,0.50
2005-10-29,0.4,2.9,37,26,31,0.10
2005-10-30,0.4,3.0,34,30,32,0.40
2005-10-31,1.1,3.4,35,31,32,0.90
2005-11-01,1.1,4.3,32,27,30,0.50
2005-11-02,1.5,4.8,33,27,29,0.20
2005-11-03,1.7,5.0,31,25,28,1.00
2005-11-04,2.9,6.0,28,24,26,0.70
2005-11-05,4.4,6.7,30,24,27,1.50
2005-11-06,5.4,8.2,30,23,26,0.20
2005-11-07,5.5,8.4,28,22,24,0.10
2005-11-08,5.5,8.5,32,24,28,0.00
2005-11-09,5.6,8.5,43,29,37,0.00
2005-11-10,5.3,8.5,43,24,34,0.40
2005-11-11,4.9,8.9,28,21,25,0.70
2005-11-12,5.9,9.6,29,21,25,0.20
2005-11-13,6.1,9.8,35,25,30,0.40
2005-11-14,6.5,10.2,26,18,23,0.10
2005-11-15,6.3,10.3,36,19,30,0.00
2005-11-16,6.4,10.3,41,32,37,0.10
2005-11-17,6.4,10.4,46,31,37,0.00
2005-11-18,6.3,10.4,47,38,43,0.00
2005-11-19,6.3,10.4,52,41,45,0.00
2005-11-20,6.3,10.4,52,41,44,0.00
2005-11-21,6.3,10.4,56,43,47,0.00
2005-11-22,6.2,10.4,58,43,,0.00
2005-11-23,6.3,10.4,49,39,43,0.00
2005-11-24,6.2,10.4,46,36,41,0.30
2005-11-25,6.1,10.7,37,22,30,0.70
2005-11-26,6.6,11.4,23,18,20,0.00
2005-11-27,6.8,11.4,22,11,17,0.00
2005-11-28,6.7,11.4,27,12,21,0.40
2005-11-29,7.1,11.8,25,19,21,0.50
2005-11-30,7.6,12.3,25,15,19,0.00
2005-12-01,7.5,12.3,20,14,17,0.50
2005-12-02,7.7,12.8,25,14,19,0.00
2005-12-03,7.8,12.8,20,13,18,0.00
2005-12-04,7.8,12.8,27,12,21,0.00
2005-12-05,7.9,12.8,30,23,26,0.00
2005-12-06,7.9,12.8,33,24,28,0.00
2005-12-07,7.9,12.8,33,24,28,0.00
2005-12-08,7.9,12.8,32,24,28,0.00
2005-12-09,8.0,12.8,36,30,33,0.00
2005-12-10,7.9,12.8,44,32,39,0.00
2005-12-11,8.0,12.8,46,35,40,0.00
2005-12-12,8.0,12.8,36,21,29,0.00
2005-12-13,7.9,12.8,29,18,22,0.10
2005-12-14,7.9,12.9,38,21,31,0.00
2005-12-15,7.9,12.9,42,28,33,0.00
2005-12-16,7.9,12.9,36,27,32,0.00
2005-12-17,7.9,12.9,32,20,27,0.00
2005-12-18,7.9,12.9,29,22,25,0.00
2005-12-19,8.0,12.9,41,27,36,0.50
2005-12-20,8.4,13.4,42,37,40,2.00
2005-12-21,7.5,15.4,38,35,36,1.60
2005-12-22,6.8,17.0,36,32,33,1.30
2005-12-23,7.2,18.3,42,30,35,0.80
2005-12-24,7.0,19.1,45,39,43,1.10
2005-12-25,4.9,20.2,39,30,33,1.90
2005-12-26,4.6,22.1,33,28,31,0.50
2005-12-27,4.8,22.6,31,25,29,0.40
2005-12-28,5.0,23.0,34,26,30,0.70
2005-12-29,5.5,23.7,30,25,27,0.40
2005-12-30,5.7,24.1,36,30,32,0.60
2005-12-31,6.1,24.7,32,27,30,0.50
2006-01-01,6.5,25.2,30,27,28,0.90
2006-01-02,7.4,26.1,31,21,26,0.40
2006-01-03,7.4,26.5,28,22,26,0.30
2006-01-04,7.8,26.8,32,24,28,0.30
2006-01-05,7.9,27.1,31,28,29,2.40
2006-01-06,8.2,29.5,31,26,28,0.90
2006-01-07,7.7,30.4,31,22,26,0.50
2006-01-08,8.2,30.9,30,21,26,0.10
2006-01-09,8.3,31.0,32,29,31,1.70
2006-01-10,10.1,32.7,32,28,30,1.10
2006-01-11,10.6,33.8,28,24,26,0.60
2006-01-12,12.9,34.4,32,24,28,0.40
2006-01-13,14.7,34.8,32,27,31,2.30
2006-01-14,15.3,37.1,28,16,24,0.20
2006-01-15,15.3,37.3,26,16,22,0.10
2006-01-16,15.4,37.4,32,23,29,1.90
2006-01-17,16.6,39.3,32,25,27,0.20
2006-01-18,16.6,39.5,29,22,25,0.10
2006-01-19,16.5,39.6,28,22,25,0.10
2006-01-20,17.0,39.7,30,18,25,0.80
2006-01-21,17.3,40.5,30,18,24,0.00
2006-01-22,17.3,40.5,32,21,28,0.00
2006-01-23,17.4,40.5,32,29,31,0.00
2006-01-24,17.4,40.5,37,28,32,0.10
2006-01-25,17.5,40.6,37,23,29,0.40
2006-01-26,17.9,41.0,26,21,24,0.60
2006-01-27,18.7,41.6,27,21,23,0.50
2006-01-28,19.2,42.1,27,22,24,0.70
2006-01-29,19.9,42.8,32,20,26,2.00
2006-01-30,21.9,44.8,32,23,29,1.40
2006-01-31,23.3,46.2,29,23,26,1.00
2006-02-01,24.3,47.2,29,25,27,0.90
2006-02-02,25.2,48.1,29,26,28,1.00
2006-02-03,26.2,49.1,34,21,28,1.10
2006-02-04,27.3,50.2,32,21,25,0.00
2006-02-05,27.3,50.2,26,14,21,1.60
2006-02-06,28.9,51.8,32,23,28,0.00
2006-02-07,28.9,51.8,41,30,35,0.10
2006-02-08,29.0,51.9,35,16,26,0.10
2006-02-09,29.1,52.0,28,16,21,0.00
2006-02-10,29.1,52.0,45,22,33,0.00
2006-02-11,29.1,52.0,45,32,37,0.00
2006-02-12,29.1,52.0,42,31,35,0.00
2006-02-13,29.1,52.0,33,17,27,0.00
2006-02-14,29.2,52.0,23,9,16,0.00
2006-02-15,29.2,52.0,20,8,13,0.00
2006-02-16,29.2,52.0,18,8,14,0.00
2006-02-17,29.2,52.0,12,5,9,0.00
2006-02-18,29.2,52.0,18,3,10,0.00
2006-02-19,29.2,52.0,32,7,17,0.00
2006-02-20,29.2,52.0,28,15,22,0.00
2006-02-21,29.2,52.0,34,18,26,0.00
2006-02-22,29.2,52.0,28,20,25,0.00
2006-02-23,29.2,52.0,29,11,23,0.00
2006-02-24,29.2,52.0,24,6,15,0.50
2006-02-25,29.7,52.5,29,13,23,0.00
2006-02-26,29.7,52.5,35,28,31,0.90
2006-02-27,30.6,53.4,36,29,33,0.00
2006-02-28,30.6,53.4,31,20,26,0.30
2006-03-01,30.9,53.7,32,22,28,0.00
2006-03-02,30.9,53.7,31,17,24,0.50
2006-03-03,31.4,54.2,32,18,25,0.00
2006-03-04,31.4,54.2,36,20,26,0.00
2006-03-05,31.4,54.2,32,27,29,0.00
2006-03-06,31.4,54.2,29,24,27,1.60
2006-03-07,33.0,55.8,32,17,24,0.60
2006-03-08,33.6,56.4,28,16,23,0.90
2006-03-09,34.5,57.3,27,15,19,1.20
2006-03-10,35.7,58.5,28,7,16,0.00
2006-03-11,35.7,58.5,29,14,19,0.40
2006-03-12,36.1,58.9,33,12,20,0.00
2006-03-13,36.1,58.9,28,15,21,0.00
2006-03-14,36.1,58.9,30,21,24,0.00
2006-03-15,36.1,58.9,29,20,24,0.20
2006-03-16,36.3,59.1,29,19,24,0.40
2006-03-17,36.7,59.5,31,18,25,0.30
2006-03-18,37.0,59.8,32,17,24,0.20
2006-03-19,37.2,60.0,34,15,23,0.00
2006-03-20,37.2,60.0,33,19,26,0.00
2006-03-21,37.2,60.0,32,25,28,0.00
2006-03-22,37.2,60.0,32,27,30,0.90
2006-03-23,38.1,60.9,36,30,32,0.30
2006-03-24,38.4,61.2,31,18,26,0.10
2006-03-25,38.5,61.3,33,15,23,1.00
2006-03-26,39.5,62.3,29,19,24,0.00
2006-03-27,39.5,62.3,36,22,28,0.00
2006-03-28,39.5,62.3,36,27,31,0.00
2006-03-29,39.5,62.3,41,21,29,0.10
2006-03-30,39.6,62.4,39,27,32,0.00
2006-03-31,39.6,62.4,41,28,32,0.00
2006-04-01,39.6,62.4,38,24,30,0.50
2006-04-02,40.1,62.9,38,24,31,0.00
2006-04-03,40.1,62.9,40,25,32,0.00
2006-04-04,40.1,62.9,39,22,29,0.00
2006-04-05,40.1,62.9,48,25,34,0.00
2006-04-06,40.1,62.9,40,22,30,0.10
2006-04-07,40.2,63.0,47,25,35,0.00
2006-04-08,40.2,63.0,43,30,35,0.10
2006-04-09,40.3,63.1,36,30,32,0.40
2006-04-10,40.7,63.5,38,27,32,0.00
2006-04-11,40.7,63.5,38,26,32,0.10
2006-04-12,40.8,63.6,36,29,32,0.10
2006-04-13,40.9,63.7,34,27,30,0.10
2006-04-14,41.0,63.8,31,19,26,0.50
2006-04-15,41.5,64.3,28,19,23,0.50
2006-04-16,42.0,64.8,32,19,24,0.30
2006-04-17,42.3,65.1,36,17,26,0.00
2006-04-18,42.3,65.1,39,20,29,0.00
2006-04-19,42.3,65.1,41,29,35,0.00
2006-04-20,42.3,65.1,48,31,38,0.10
2006-04-21,42.4,65.2,36,23,29,0.20
2006-04-22,42.6,65.4,42,20,30,0.00
2006-04-23,42.6,65.4,53,28,41,0.00
2006-04-24,42.1,65.4,56,34,44,0.00
2006-04-25,41.5,65.4,52,32,41,0.00
2006-04-26,41.0,65.4,41,32,36,0.00
2006-04-27,40.5,65.4,53,33,40,0.00
2006-04-28,39.5,65.4,,35,47,0.00
2006-04-29,39.0,65.4,46,23,33,0.20
2006-04-30,38.5,65.6,40,18,30,0.00
2006-05-01,38.5,65.6,40,23,30,0.00
2006-05-02,37.0,65.6,42,22,31,0.00
2006-05-03,37.0,65.6,48,27,37,0.00
2006-05-04,37.0,65.6,,33,44,0.00
2006-05-05,37.0,65.6,56,32,43,0.00
2006-05-06,35.4,65.6,39,30,33,0.20
2006-05-07,35.0,65.8,41,26,33,0.00
2006-05-08,34.7,65.8,40,24,30,0.00
2006-05-09,34.1,65.8,44,23,33,0.00
2006-05-10,33.7,65.8,53,31,41,0.00
2006-05-11,33.1,65.8,45,28,37,0.00
2006-05-12,32.4,65.8,38,22,29,0.00
2006-05-13,32.8,65.8,42,23,33,0.00
2006-05-14,32.0,65.8,61,31,47,0.00
2006-05-15,31.0,65.8,71,45,57,0.00
2006-05-16,30.0,65.8,69,47,57,0.00
2006-05-17,29.0,65.8,68,44,54,0.00
2006-05-18,27.5,65.8,62,40,51,0.00
2006-05-19,26.0,65.8,60,40,48,0.00
2006-05-20,24.5,65.8,49,35,42,0.10
2006-05-21,23.5,65.9,53,36,42,0.00
2006-05-22,22.5,65.9,42,34,37,0.70
2006-05-23,22.0,66.6,41,34,37,0.50
2006-05-24,21.0,67.1,41,33,36,0.10
2006-05-25,20.0,67.2,40,31,35,0.30
2006-05-26,20.0,67.5,,32,36,0.40
2006-05-27,20.0,67.9,42,32,36,0.40
2006-05-28,19.0,68.3,44,32,38,0.00
2006-05-29,19.0,68.3,41,30,36,0.00
2006-05-30,18.0,68.3,52,31,42,0.00
2006-05-31,16.5,68.3,62,38,47,0.10
2006-06-01,15.5,68.4,51,40,44,0.30
2006-06-02,14.5,68.7,47,35,40,0.10
2006-06-03,14.0,68.8,45,33,40,0.00
2006-06-04,13.5,68.8,50,38,42,0.20
2006-06-05,13.0,69.0,49,36,41,0.00
2006-06-06,12.0,69.0,49,36,42,0.00
2006-06-07,11.0,69.0,53,35,44,0.00
2006-06-08,10.0,69.0,49,35,40,1.00
2006-06-09,9.5,70.0,45,35,39,0.00
2006-06-10,9.0,70.0,,36,45,0.00
2006-06-11,8.0,70.0,62,39,49,0.00
2006-06-12,7.0,70.0,57,41,47,0.40
2006-06-13,6.0,70.4,51,39,45,0.00
2006-06-14,5.5,70.4,48,37,42,0.00
2006-06-15,4.0,70.4,54,38,44,0.00
2006-06-16,3.0,70.4,48,37,43,0.10
2006-06-17,2.0,70.5,47,34,40,0.00
2006-06-18,1.0,70.5,43,33,39,0.00
2006-06-19,0.5,70.5,50,31,39,0.00
2006-06-20,0.0,70.5,45,31,39,0.00
2006-06-21,0.0,70.5,45,33,40,0.00
2006-06-22,0.0,70.5,53,34,43,0.00
2006-06-23,0.0,70.5,57,35,47,0.00
2006-06-24,0.0,70.5,68,41,55,0.00
2006-06-25,0.0,70.5,76,48,62,0.00
2006-06-26,0.0,70.5,80,54,67,0.00
2006-06-27,0.0,70.5,76,46,62,0.00
2006-06-28,0.0,70.5,63,42,51,0.00
2006-06-29,0.0,70.5,64,41,54,0.00
2006-06-30,0.0,70.5,66,46,57,0.00
2006-07-01,0.0,70.5,67,46,57,0.00
2006-07-02,0.0,70.5,71,49,60,0.00
2006-07-03,0.0,70.5,71,52,61,0.00
2006-07-04,0.0,70.5,69,52,60,0.00
