#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 943: Dungeness, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Dungeness (943) 
# Washington  SNOTEL Site - 4010 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 23, 2021 8:14:30 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2003-06-13,0.0,43.3,54,40,46,0.00
2003-06-14,0.0,43.3,53,38,44,0.10
2003-06-15,0.0,43.4,59,41,48,0.20
2003-06-16,0.0,43.6,68,44,55,0.00
2003-06-17,0.0,43.6,76,53,64,0.00
2003-06-18,0.0,43.6,55,43,49,0.10
2003-06-19,0.0,43.7,46,41,43,0.10
2003-06-20,0.0,43.8,45,36,41,0.00
2003-06-21,0.0,43.8,46,36,40,0.10
2003-06-22,0.0,43.9,47,37,42,0.20
2003-06-23,0.0,44.1,51,39,43,0.00
2003-06-24,0.0,44.1,61,40,49,0.00
2003-06-25,0.0,44.1,70,45,57,0.00
2003-06-26,0.0,44.1,72,51,61,0.00
2003-06-27,0.0,44.1,71,51,60,0.00
2003-06-28,0.0,44.1,79,54,65,0.00
2003-06-29,0.0,44.1,77,48,62,0.00
2003-06-30,0.0,44.1,59,43,48,0.10
2003-07-01,0.0,44.2,49,38,43,0.20
2003-07-02,0.0,44.4,53,37,44,0.00
2003-07-03,0.0,44.4,59,41,49,0.00
2003-07-04,0.0,44.4,61,44,52,0.00
2003-07-05,0.0,44.4,55,45,51,0.00
2003-07-06,0.0,44.4,66,45,54,0.00
2003-07-07,0.0,44.4,66,46,54,0.00
2003-07-08,0.0,44.4,54,42,47,0.00
2003-07-09,0.0,44.4,72,46,56,0.00
2003-07-10,0.0,44.4,78,54,64,0.00
2003-07-11,0.0,44.4,73,55,62,0.00
2003-07-12,0.0,44.4,67,49,58,0.00
2003-07-13,0.0,44.4,62,46,52,0.00
2003-07-14,0.0,44.4,62,46,53,0.00
2003-07-15,0.0,44.4,60,44,51,0.00
2003-07-16,0.0,44.4,50,43,47,0.00
2003-07-17,0.0,44.4,69,42,54,0.00
2003-07-18,0.0,44.4,74,53,61,0.00
2003-07-19,0.0,44.4,78,55,64,0.00
2003-07-20,0.0,44.4,66,54,59,0.00
2003-07-21,0.0,44.4,76,51,62,0.00
2003-07-22,0.0,44.4,77,56,64,0.00
2003-07-23,0.0,44.4,73,54,62,0.00
2003-07-24,0.0,44.4,70,50,57,0.00
2003-07-25,0.0,44.4,72,49,58,0.00
2003-07-26,0.0,44.4,73,51,60,0.00
2003-07-27,0.0,44.4,75,53,62,0.00
2003-07-28,0.0,44.4,81,57,66,0.00
2003-07-29,0.0,44.4,83,59,69,0.00
2003-07-30,0.0,44.4,81,60,69,0.00
2003-07-31,0.0,44.4,77,58,65,0.00
2003-08-01,0.0,44.4,72,54,61,0.10
2003-08-02,0.0,44.5,72,50,58,0.00
2003-08-03,0.0,44.5,65,51,56,0.00
2003-08-04,0.0,44.5,71,51,58,0.00
2003-08-05,0.0,44.5,72,51,58,0.00
2003-08-06,0.0,44.5,59,49,52,0.00
2003-08-07,0.0,44.5,64,48,54,0.00
2003-08-08,0.0,44.5,65,51,55,0.00
2003-08-09,0.0,44.5,60,49,54,0.00
2003-08-10,0.0,44.5,60,48,52,0.00
2003-08-11,0.0,44.5,54,45,49,0.00
2003-08-12,0.0,44.5,56,43,48,0.00
2003-08-13,0.0,44.5,66,44,53,0.00
2003-08-14,0.0,44.5,75,49,60,0.00
2003-08-15,0.0,44.5,74,51,64,0.00
2003-08-16,0.0,44.5,65,47,55,0.00
2003-08-17,0.0,44.5,70,50,58,0.00
2003-08-18,0.0,44.5,72,55,60,0.00
2003-08-19,0.0,44.5,64,49,56,0.00
2003-08-20,0.0,44.5,74,47,59,0.00
2003-08-21,0.0,44.5,76,56,62,0.00
2003-08-22,0.0,44.5,59,42,52,0.00
2003-08-23,0.0,44.5,53,42,46,0.00
2003-08-24,0.0,44.5,67,42,53,0.00
2003-08-25,0.0,44.5,74,55,61,0.00
2003-08-26,0.0,44.5,56,45,51,0.00
2003-08-27,0.0,44.5,61,46,51,0.00
2003-08-28,0.0,44.5,69,47,55,0.00
2003-08-29,0.0,44.5,74,52,60,0.00
2003-08-30,0.0,44.5,76,56,62,0.00
2003-08-31,0.0,44.5,69,50,57,0.00
2003-09-01,0.0,44.5,70,49,57,0.20
2003-09-02,0.0,44.7,80,56,64,0.00
2003-09-03,0.0,44.7,80,62,67,0.00
2003-09-04,0.0,44.7,81,60,66,0.00
2003-09-05,0.0,44.7,76,57,63,0.00
2003-09-06,0.0,44.7,70,50,60,0.00
2003-09-07,0.0,44.7,55,42,47,0.20
2003-09-08,0.0,44.9,51,40,45,0.00
2003-09-09,0.0,44.9,57,44,48,0.00
2003-09-10,0.0,44.9,54,45,50,0.00
2003-09-11,0.0,44.9,54,40,48,0.00
2003-09-12,0.0,44.9,53,41,45,0.00
2003-09-13,0.0,44.9,65,41,50,0.00
2003-09-14,0.0,44.9,56,39,48,0.00
2003-09-15,0.0,44.9,52,39,43,0.00
2003-09-16,0.0,44.9,45,37,40,0.10
2003-09-17,0.0,45.0,50,37,42,0.00
2003-09-18,0.0,45.0,60,43,51,0.00
2003-09-19,0.0,45.0,51,42,46,0.00
2003-09-20,0.0,45.0,57,39,45,0.00
2003-09-21,0.0,45.0,65,40,50,0.00
2003-09-22,0.0,45.0,69,50,56,0.00
2003-09-23,0.0,45.0,60,47,51,0.00
2003-09-24,0.0,45.0,72,51,59,0.00
2003-09-25,0.0,45.0,67,50,56,0.00
2003-09-26,0.0,45.0,75,52,61,0.00
2003-09-27,0.0,45.0,78,59,66,0.00
2003-09-28,0.0,45.0,78,60,65,0.00
2003-09-29,0.0,45.0,73,55,62,0.00
2003-09-30,0.0,45.0,69,54,60,0.00
2003-10-01,0.0,0.0,72,54,59,0.00
2003-10-02,0.0,0.0,71,54,58,0.00
2003-10-03,0.0,0.0,75,54,62,0.00
2003-10-04,0.0,0.0,69,55,60,0.00
2003-10-05,0.0,0.0,67,51,55,0.10
2003-10-06,0.0,0.1,67,44,54,0.00
2003-10-07,0.0,0.1,50,41,45,0.00
2003-10-08,0.0,0.1,49,39,43,0.30
2003-10-09,0.0,0.4,48,36,39,0.00
2003-10-10,0.0,0.4,44,35,39,0.00
2003-10-11,0.0,0.4,52,37,41,0.00
2003-10-12,0.0,0.4,47,37,42,0.60
2003-10-13,0.0,1.0,46,36,39,0.00
2003-10-14,0.0,1.0,52,36,40,0.00
2003-10-15,0.0,1.0,43,37,39,0.80
2003-10-16,0.0,1.8,51,39,48,2.60
2003-10-17,0.0,4.4,54,46,50,0.30
2003-10-18,0.0,4.7,61,46,51,0.10
2003-10-19,0.0,4.8,53,43,47,0.60
2003-10-20,0.0,5.4,55,46,52,3.50
2003-10-21,0.0,8.9,59,49,54,0.10
2003-10-22,0.0,9.0,61,38,51,0.10
2003-10-23,0.0,9.1,45,35,38,0.00
2003-10-24,0.0,9.1,49,35,40,0.00
2003-10-25,0.0,9.1,64,43,51,0.00
2003-10-26,0.0,9.1,70,53,56,0.00
2003-10-27,0.0,9.1,56,47,51,0.00
2003-10-28,0.0,9.1,61,38,50,0.00
2003-10-29,0.0,9.1,38,29,33,0.10
2003-10-30,0.0,9.2,31,24,28,0.00
2003-10-31,0.0,9.2,34,20,25,0.00
2003-11-01,0.0,9.2,35,26,29,0.10
2003-11-02,0.0,9.3,29,22,26,0.00
2003-11-03,0.0,9.3,34,19,23,0.00
2003-11-04,0.0,9.3,33,18,22,0.00
2003-11-05,0.0,9.3,38,20,26,0.10
2003-11-06,0.0,9.4,45,28,34,0.20
2003-11-07,0.0,9.6,46,36,41,0.00
2003-11-08,0.0,9.6,48,39,42,0.00
2003-11-09,0.0,9.6,45,37,41,0.00
2003-11-10,0.0,9.6,43,36,39,0.00
2003-11-11,0.0,9.6,46,34,39,0.00
2003-11-12,0.0,9.6,46,34,38,0.00
2003-11-13,0.0,9.6,57,38,44,0.00
2003-11-14,0.0,9.6,45,37,41,0.10
2003-11-15,0.0,9.7,47,33,38,0.00
2003-11-16,0.0,9.7,37,33,35,0.50
2003-11-17,0.0,10.2,43,32,36,1.20
2003-11-18,0.0,11.4,44,33,40,2.20
2003-11-19,0.0,13.6,37,24,30,0.30
2003-11-20,0.0,13.9,34,22,25,0.00
2003-11-21,0.0,13.9,29,17,22,0.00
2003-11-22,0.0,13.9,33,19,27,0.40
2003-11-23,0.0,14.3,37,27,33,0.00
2003-11-24,0.0,14.3,35,24,28,0.00
2003-11-25,0.0,14.3,37,28,31,0.10
2003-11-26,0.0,14.4,39,28,30,0.00
2003-11-27,0.0,14.4,42,29,35,0.10
2003-11-28,0.0,14.5,43,36,40,2.50
2003-11-29,0.0,17.0,42,28,33,0.00
2003-11-30,0.0,17.0,44,26,36,0.00
2003-12-01,0.0,17.0,42,38,40,0.00
2003-12-02,0.0,17.0,47,29,40,0.30
2003-12-03,0.0,17.3,34,25,28,0.00
2003-12-04,0.0,17.3,40,30,35,1.10
2003-12-05,0.0,18.4,39,34,36,1.70
2003-12-06,0.0,20.1,35,28,31,0.00
2003-12-07,0.0,20.1,37,30,32,0.10
2003-12-08,0.0,20.2,37,26,28,0.00
2003-12-09,0.0,20.2,35,29,31,0.20
2003-12-10,1.4,20.4,35,29,32,0.10
2003-12-11,0.8,20.5,38,31,34,0.00
2003-12-12,0.3,20.5,36,29,32,0.00
2003-12-13,0.3,20.5,37,29,34,0.10
2003-12-14,0.5,20.6,37,28,31,0.00
2003-12-15,0.0,20.6,38,27,32,0.20
2003-12-16,0.2,20.8,38,30,35,0.40
2003-12-17,0.3,21.2,43,29,34,0.00
2003-12-18,0.0,21.2,51,42,45,0.00
2003-12-19,0.0,21.2,52,36,45,0.10
2003-12-20,0.1,21.3,42,33,36,0.00
2003-12-21,0.3,21.3,43,30,34,0.00
2003-12-22,0.5,21.3,50,38,43,0.00
2003-12-23,1.0,21.3,47,35,39,0.90
2003-12-24,1.1,22.2,35,30,33,0.90
2003-12-25,1.9,23.1,35,22,27,0.10
2003-12-26,1.7,23.2,31,21,24,0.20
2003-12-27,1.8,23.4,31,23,27,0.10
2003-12-28,2.1,23.5,33,19,23,0.10
2003-12-29,3.0,23.6,22,17,20,0.00
2003-12-30,3.1,23.6,31,20,26,0.20
2003-12-31,3.0,23.8,34,24,27,0.00
2004-01-01,2.4,23.8,26,22,25,0.20
2004-01-02,2.5,24.0,31,20,22,0.00
2004-01-03,2.0,24.0,22,6,15,0.00
2004-01-04,2.1,24.0,21,4,9,0.00
2004-01-05,2.1,24.0,28,11,18,0.30
2004-01-06,2.4,24.3,38,28,33,0.10
2004-01-07,2.5,24.4,39,35,36,0.40
2004-01-08,2.9,24.8,40,35,38,0.50
2004-01-09,3.5,25.3,47,37,41,0.60
2004-01-10,2.7,25.9,42,35,37,0.00
2004-01-11,2.4,25.9,46,37,42,0.00
2004-01-12,2.4,25.9,49,36,42,0.10
2004-01-13,2.1,26.0,47,36,42,0.00
2004-01-14,1.9,26.0,47,41,43,0.20
2004-01-15,1.3,26.2,44,33,38,0.00
2004-01-16,1.1,26.2,45,32,37,0.00
2004-01-17,1.0,26.2,46,37,42,0.00
2004-01-18,1.4,26.2,44,36,39,0.00
2004-01-19,0.7,26.2,44,33,36,0.00
2004-01-20,0.5,26.2,46,31,35,0.00
2004-01-21,2.6,26.2,48,35,40,0.00
2004-01-22,0.4,26.2,49,33,41,0.00
2004-01-23,1.2,26.2,44,33,37,0.00
2004-01-24,1.2,26.2,33,26,29,0.00
2004-01-25,1.7,26.2,,,,0.00
2004-01-26,0.0,26.2,41,29,34,0.20
2004-01-27,0.0,26.4,43,32,35,0.00
2004-01-28,0.0,26.4,48,34,39,0.00
2004-01-29,0.0,26.4,42,36,38,1.20
2004-01-30,0.0,27.6,36,25,30,0.10
2004-01-31,0.0,27.7,35,24,28,0.10
2004-02-01,0.0,27.8,38,24,28,0.10
2004-02-02,0.0,27.9,36,29,32,0.50
2004-02-03,1.4,28.4,41,31,35,0.00
2004-02-04,0.7,28.4,38,27,31,0.00
2004-02-05,0.0,28.4,40,27,35,0.00
2004-02-06,2.0,28.4,44,31,36,0.00
2004-02-07,1.3,28.4,40,26,32,0.00
2004-02-08,1.1,28.4,36,28,30,0.00
2004-02-09,2.2,28.4,47,26,35,0.00
2004-02-10,2.6,28.4,60,38,43,0.00
2004-02-11,3.1,28.4,57,40,45,0.00
2004-02-12,2.7,28.4,60,43,47,0.00
2004-02-13,2.5,28.4,53,37,44,0.10
2004-02-14,2.5,28.5,48,33,37,0.00
2004-02-15,1.7,28.5,41,33,35,0.10
2004-02-16,1.9,28.6,39,31,35,0.90
2004-02-17,2.0,29.5,38,29,33,0.70
2004-02-18,2.3,30.2,46,33,36,0.00
2004-02-19,1.4,30.2,40,30,33,0.00
2004-02-20,1.4,30.2,47,29,33,0.00
2004-02-21,1.1,30.2,42,32,35,0.00
2004-02-22,1.1,30.2,46,34,38,0.00
2004-02-23,1.6,30.2,45,34,37,0.10
2004-02-24,1.8,30.3,37,29,34,0.60
2004-02-25,2.6,30.9,34,31,32,0.70
2004-02-26,4.3,31.6,42,32,35,0.50
2004-02-27,4.5,32.1,40,30,34,0.10
2004-02-28,4.5,32.2,43,29,33,0.00
2004-02-29,4.8,32.2,43,29,33,0.00
2004-03-01,4.6,32.2,39,29,33,0.00
2004-03-02,4.5,32.2,46,27,33,0.00
2004-03-03,4.8,32.2,39,30,33,0.10
2004-03-04,5.0,32.3,44,27,33,0.00
2004-03-05,4.7,32.3,38,25,31,0.20
2004-03-06,4.5,32.5,40,24,32,0.20
2004-03-07,4.7,32.7,50,37,42,0.10
2004-03-08,4.4,32.8,63,42,48,0.00
2004-03-09,4.6,32.8,48,32,40,0.00
2004-03-10,4.2,32.8,52,32,38,0.00
2004-03-11,4.2,32.8,54,38,44,0.00
2004-03-12,4.3,32.8,44,31,37,0.10
2004-03-13,4.2,32.9,52,31,41,0.00
2004-03-14,4.0,32.9,49,34,39,0.00
2004-03-15,3.7,32.9,45,33,36,0.00
2004-03-16,3.6,32.9,47,35,38,0.00
2004-03-17,3.4,32.9,45,35,39,0.00
2004-03-18,3.4,32.9,41,27,35,0.00
2004-03-19,2.8,32.9,42,26,31,0.00
2004-03-20,2.7,32.9,51,28,40,0.10
2004-03-21,2.2,33.0,60,45,52,0.00
2004-03-22,2.1,33.0,56,39,45,0.00
2004-03-23,1.4,33.0,45,35,39,0.10
2004-03-24,1.4,33.1,42,30,34,0.50
2004-03-25,1.7,33.6,35,30,33,1.20
2004-03-26,3.1,34.8,47,29,34,0.00
2004-03-27,3.5,34.8,46,30,35,0.00
2004-03-28,3.6,34.8,56,29,41,0.00
2004-03-29,3.9,34.8,61,47,53,0.00
2004-03-30,3.3,34.8,47,27,37,0.00
2004-03-31,3.3,34.8,38,26,30,0.10
2004-04-01,2.7,34.9,44,26,32,0.00
2004-04-02,3.0,34.9,56,31,43,0.10
2004-04-03,2.2,35.0,61,39,49,0.00
2004-04-04,1.4,35.0,49,36,40,0.00
2004-04-05,0.9,35.0,50,35,40,0.00
2004-04-06,0.5,35.0,54,36,42,0.00
2004-04-07,0.0,35.0,44,36,39,0.00
2004-04-08,0.0,35.0,54,35,42,0.00
2004-04-09,0.0,35.0,59,38,46,0.00
2004-04-10,0.0,35.0,64,43,52,0.00
2004-04-11,0.0,35.0,71,48,56,0.00
2004-04-12,0.0,35.0,52,36,42,0.10
2004-04-13,0.0,35.1,52,35,40,0.10
2004-04-14,0.0,35.2,43,33,36,0.00
2004-04-15,0.0,35.2,43,32,35,0.20
2004-04-16,0.0,35.4,40,30,34,0.20
2004-04-17,0.0,35.6,39,31,35,0.10
2004-04-18,0.0,35.7,45,31,36,0.00
2004-04-19,0.0,35.7,38,33,35,1.00
2004-04-20,0.0,36.7,44,31,36,0.00
2004-04-21,0.0,36.7,49,33,38,0.00
2004-04-22,0.0,36.7,58,36,45,0.00
2004-04-23,0.0,36.7,50,34,42,0.00
2004-04-24,0.0,36.7,49,31,38,0.00
2004-04-25,0.0,36.7,64,38,50,0.00
2004-04-26,0.0,36.7,71,49,57,0.00
2004-04-27,0.0,36.7,54,32,45,0.00
2004-04-28,0.0,36.7,55,35,43,0.10
2004-04-29,0.0,36.8,62,40,49,0.00
2004-04-30,0.0,36.8,69,48,56,0.00
2004-05-01,0.0,36.8,67,50,57,0.00
2004-05-02,0.0,36.8,54,42,47,0.00
2004-05-03,0.0,36.8,53,39,47,0.00
2004-05-04,0.0,36.8,46,35,40,0.10
2004-05-05,0.0,36.9,40,34,37,0.20
2004-05-06,0.0,37.1,53,35,43,0.00
2004-05-07,0.0,37.1,52,38,45,0.10
2004-05-08,0.0,37.2,51,36,40,0.20
2004-05-09,0.0,37.4,49,35,40,0.00
2004-05-10,0.0,37.4,43,37,39,0.20
2004-05-11,0.0,37.6,54,36,43,0.10
2004-05-12,0.0,37.7,55,38,44,0.00
2004-05-13,0.0,37.7,53,37,43,0.00
2004-05-14,0.0,37.7,53,38,45,0.10
2004-05-15,0.0,37.8,49,39,43,0.20
2004-05-16,0.0,38.0,46,38,42,0.00
2004-05-17,0.0,38.0,59,38,47,0.00
2004-05-18,0.0,38.0,66,45,53,0.00
2004-05-19,0.0,38.0,60,42,49,0.00
2004-05-20,0.0,38.0,60,44,51,0.00
2004-05-21,0.0,38.0,56,40,47,0.00
2004-05-22,0.0,38.0,44,38,40,0.40
2004-05-23,0.0,38.4,56,38,45,0.00
2004-05-24,0.0,38.4,61,41,49,0.00
2004-05-25,0.0,38.4,61,45,51,0.10
2004-05-26,0.0,38.5,53,43,48,0.20
2004-05-27,0.0,38.7,49,40,44,0.10
2004-05-28,0.0,38.8,44,36,39,0.40
2004-05-29,0.0,39.2,46,35,41,0.00
2004-05-30,0.0,39.2,51,39,43,0.00
2004-05-31,0.0,39.2,45,38,41,0.20
2004-06-01,0.0,39.4,46,36,42,0.00
2004-06-02,0.0,39.4,56,37,46,0.00
2004-06-03,0.0,39.4,68,45,55,0.00
2004-06-04,0.0,39.4,69,49,58,0.00
2004-06-05,0.0,39.4,54,40,46,0.20
2004-06-06,0.0,39.6,49,40,43,0.40
2004-06-07,0.0,40.0,50,39,43,0.10
2004-06-08,0.0,40.1,68,44,54,0.00
2004-06-09,0.0,40.1,64,47,54,0.00
2004-06-10,0.0,40.1,47,40,44,0.00
2004-06-11,0.0,40.1,44,36,40,0.10
2004-06-12,0.0,40.2,51,36,42,0.00
2004-06-13,0.0,40.2,51,37,42,0.00
2004-06-14,0.0,40.2,48,36,41,0.00
2004-06-15,0.0,40.2,59,35,46,0.00
2004-06-16,0.0,40.2,69,42,54,0.00
2004-06-17,0.0,40.2,72,52,60,0.00
2004-06-18,0.0,40.2,71,53,59,0.00
2004-06-19,0.0,40.2,72,52,60,0.00
2004-06-20,0.0,40.2,77,54,64,0.00
2004-06-21,0.0,40.2,77,57,65,0.00
2004-06-22,0.0,40.2,80,58,67,0.00
2004-06-23,0.0,40.2,71,54,61,0.10
2004-06-24,0.0,40.3,68,52,59,0.00
2004-06-25,0.0,40.3,62,44,51,0.00
2004-06-26,0.0,40.3,60,42,50,0.00
2004-06-27,0.0,40.3,57,46,51,0.00
2004-06-28,0.0,40.3,69,45,55,0.00
2004-06-29,0.0,40.3,71,48,58,0.00
2004-06-30,0.0,40.3,71,51,60,0.00
2004-07-01,0.0,40.3,71,52,59,0.00
2004-07-02,0.0,40.3,61,50,53,0.40
2004-07-03,0.0,40.7,62,47,53,0.00
2004-07-04,0.0,40.7,64,44,52,0.00
2004-07-05,0.0,40.7,69,48,57,0.00
2004-07-06,0.0,40.7,62,43,53,0.00
2004-07-07,0.0,40.7,53,40,46,0.10
2004-07-08,0.0,40.8,54,42,46,0.00
2004-07-09,0.0,40.8,49,43,46,0.60
2004-07-10,0.0,41.4,50,42,45,0.10
2004-07-11,0.0,41.5,53,42,48,0.00
2004-07-12,0.0,41.5,72,46,58,0.00
2004-07-13,0.0,41.5,73,57,64,0.00
2004-07-14,0.0,41.5,74,57,64,0.00
2004-07-15,0.0,41.5,70,53,60,0.00
2004-07-16,0.0,41.5,69,46,57,0.00
2004-07-17,0.0,41.5,77,55,64,0.00
2004-07-18,0.0,41.5,75,58,64,0.00
2004-07-19,0.0,41.5,67,49,58,0.10
2004-07-20,0.0,41.6,58,47,52,0.00
2004-07-21,0.0,41.6,68,47,55,0.00
2004-07-22,0.0,41.6,78,51,64,0.00
2004-07-23,0.0,41.6,84,59,69,0.00
2004-07-24,0.0,41.6,83,63,70,0.00
2004-07-25,0.0,41.6,71,54,62,0.00
2004-07-26,0.0,41.6,72,53,60,0.00
2004-07-27,0.0,41.6,76,54,63,0.00
2004-07-28,0.0,41.6,75,57,64,0.00
2004-07-29,0.0,41.6,77,57,65,0.00
2004-07-30,0.0,41.6,72,54,61,0.00
2004-07-31,0.0,41.6,74,52,60,0.00
2004-08-01,0.0,41.6,75,53,62,0.00
2004-08-02,0.0,41.6,71,52,59,0.10
2004-08-03,0.0,41.7,60,51,54,0.70
2004-08-04,0.0,42.4,58,46,51,0.10
2004-08-05,0.0,42.5,53,46,49,0.00
2004-08-06,0.0,42.5,58,47,49,0.70
2004-08-07,0.0,43.2,57,45,50,0.00
2004-08-08,0.0,43.2,72,46,57,0.00
2004-08-09,0.0,43.2,78,56,64,0.00
2004-08-10,0.0,43.2,76,57,64,0.00
2004-08-11,0.0,43.2,80,57,66,0.00
2004-08-12,0.0,43.2,79,60,67,0.00
2004-08-13,0.0,43.2,80,59,67,0.00
2004-08-14,0.0,43.2,81,63,69,0.00
2004-08-15,0.0,43.2,77,59,66,0.00
2004-08-16,0.0,43.2,74,58,63,0.10
2004-08-17,0.0,43.3,74,57,62,0.00
2004-08-18,0.0,43.3,74,56,62,0.00
2004-08-19,0.0,43.3,77,56,64,0.00
2004-08-20,0.0,43.3,74,56,62,0.00
2004-08-21,0.0,43.3,62,50,57,0.40
2004-08-22,0.0,43.7,55,48,50,0.10
2004-08-23,0.0,43.8,55,46,50,0.00
2004-08-24,0.0,43.8,57,47,50,0.40
2004-08-25,0.0,44.2,56,46,49,0.10
2004-08-26,0.0,44.3,54,45,50,0.10
2004-08-27,0.0,44.4,55,46,50,0.00
2004-08-28,0.0,44.4,60,47,53,0.00
2004-08-29,0.0,44.4,65,48,54,0.00
2004-08-30,0.0,44.4,68,47,57,0.00
2004-08-31,0.0,44.4,,,,0.00
2004-09-01,0.0,44.4,56,41,47,0.10
2004-09-02,0.0,44.5,56,39,46,0.00
2004-09-03,0.0,44.5,65,43,50,0.00
2004-09-04,0.0,44.5,58,41,47,0.00
2004-09-05,0.0,44.5,60,39,46,0.00
2004-09-06,0.0,44.5,62,42,49,0.00
2004-09-07,0.0,44.5,64,43,50,0.00
2004-09-08,0.0,44.5,63,44,50,0.00
2004-09-09,0.0,44.5,59,42,47,0.10
2004-09-10,0.0,44.6,62,40,51,0.20
2004-09-11,0.0,44.8,58,43,48,0.00
2004-09-12,0.0,44.8,55,41,45,0.00
2004-09-13,0.0,44.8,54,42,47,0.20
2004-09-14,0.0,45.0,54,38,43,0.00
2004-09-15,0.0,45.0,56,40,47,0.10
2004-09-16,0.0,45.1,52,40,44,0.00
2004-09-17,0.0,45.1,53,36,41,0.00
2004-09-18,0.0,45.1,46,36,40,0.20
2004-09-19,0.0,45.3,44,36,40,0.00
2004-09-20,0.0,45.3,51,36,41,0.00
2004-09-21,0.0,45.3,57,37,44,0.00
2004-09-22,0.0,45.3,55,45,50,0.00
2004-09-23,0.0,45.3,55,40,46,0.00
2004-09-24,0.0,45.3,67,45,51,0.10
2004-09-25,0.0,45.4,67,46,51,0.00
2004-09-26,0.0,45.4,65,44,50,0.00
2004-09-27,0.0,45.4,69,46,53,0.00
2004-09-28,0.0,45.4,70,49,54,0.00
2004-09-29,0.0,45.4,62,43,48,0.00
2004-09-30,0.0,45.4,60,41,46,0.00
2004-10-01,0.0,0.0,65,42,49,0.00
2004-10-02,0.0,0.0,68,47,53,0.00
2004-10-03,0.0,0.0,69,49,54,0.00
2004-10-04,0.0,0.0,69,50,55,0.00
2004-10-05,0.0,0.0,71,48,55,0.10
2004-10-06,0.0,0.1,50,42,46,0.00
2004-10-07,0.0,0.1,56,37,45,0.00
2004-10-08,0.0,0.1,51,38,46,0.60
2004-10-09,0.0,0.7,53,36,42,0.00
2004-10-10,0.0,0.7,53,39,45,0.00
2004-10-11,0.0,0.7,50,44,47,0.00
2004-10-12,0.0,0.7,59,46,50,0.00
2004-10-13,0.0,0.7,69,49,54,0.00
2004-10-14,0.0,0.7,71,50,55,0.00
2004-10-15,0.0,0.7,59,45,50,0.00
2004-10-16,0.0,0.7,51,35,44,0.20
2004-10-17,0.0,0.9,44,35,39,1.20
2004-10-18,0.0,2.1,44,32,37,0.10
2004-10-19,0.0,2.2,39,38,39,2.40
2004-10-20,0.0,4.6,46,35,40,0.00
2004-10-21,0.0,4.6,46,34,38,0.00
2004-10-22,0.0,4.6,47,31,39,0.00
2004-10-23,0.0,4.6,44,29,33,0.00
2004-10-24,0.0,4.6,42,29,33,0.00
2004-10-25,0.0,4.6,42,34,37,0.70
2004-10-26,0.7,5.3,40,33,35,0.40
2004-10-27,0.9,5.7,52,34,37,0.00
